Level,Extreme,High,Moderate,Low
-1,8,5,4,+2 to +1
0,9,6,5,+3 to +2
1,10,7,6,+4 to +3
2,11,8,7,+5 to +4
3,13,10,9,+7 to +5
4,15,12,10,+8 to +7
5,16,13,12,+10 to +8
6,18,15,13,+11 to +9
7,20,17,15,+13 to +11
8,21,18,16,+14 to +12
9,23,20,18,+16 to +13
10,25,22,19,+17 to +15
11,26,23,21,+19 to +16
12,28,25,22,+20 to +17
13,30,27,24,+22 to +19
14,31,28,25,+23 to +20
15,33,30,27,+25 to +21
16,35,32,28,+26 to +23
17,36,33,30,+28 to +24
18,38,35,31,+29 to +25
19,40,37,33,+31 to +27
20,41,38,34,+32 to +28
21,43,40,36,+34 to +29
22,45,42,37,+35 to +31
23,46,43,38,+36 to +32
24,48,45,40,+38 to +33
