Level,Extreme DC,Extreme Spell Attack Bonus,High DC,High Spell Attack Bonus,Moderate DC,Moderate Spell Attack Bonus
-1,19,11,16,8,13,5
0,19,11,16,8,13,5
1,20,12,17,9,14,6
2,22,14,18,10,15,7
3,23,15,20,12,17,9
4,25,17,21,13,18,10
5,26,18,22,14,19,11
6,27,19,24,16,21,13
7,29,21,25,17,22,14
8,30,22,26,18,23,15
9,32,24,28,20,25,17
10,33,25,29,21,26,18
11,34,26,30,22,27,19
12,36,28,32,24,29,21
13,37,29,33,25,30,22
14,39,31,34,26,31,23
15,40,32,36,28,33,25
16,41,33,37,29,34,26
17,43,35,38,30,35,27
18,44,36,40,32,37,29
19,46,38,41,33,38,30
20,47,39,42,34,39,31
21,48,40,44,36,41,33
22,50,42,45,37,42,34
23,51,43,46,38,43,35
24,52,44,48,40,45,37
